isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,GAB,Gabon,SSA,N,2013,2005,X,359.2185,1.9,203.8923,0.08499678,0.02034698,0.007498857,0.0262718,0.4218499,144.8913,0.3011957,-1,1.817271,GAB_N2005X,0.02273,0.03547,0.04551,0.0551,0.06559,0.07806,0.09424,0.1166,0.1553,0.3315
0,1,GMB,"Gambia, The",SSA,N,2013,2003.29,X,10.82647,1.9,99.00688,0.4481877,0.171976,0.08800567,0.255861,0.4733167,63.63549,0.3899284,-1,1.859324,GMB_N2003X,0.01793,0.02978,0.03898,0.04766,0.0586,0.07184,0.0912,0.1159,0.1596,0.3685
0,1,GEO,Georgia,ECA,N,2013,2013,X,0.8419071,1.9,184.8361,0.1148803,0.033595,0.01459288,0.04611232,0.4003376,141.1408,0.2796564,-1,3.776,GEO_N2013X,0.0209,0.03528,0.04696,0.05818,0.06988,0.08386,0.1009,0.1243,0.1611,0.2986
0,1,DEU,Germany,OHI,N,2013,2013,Y,0.8180292,1.9,1616.25,0,0,0,0,0.3139358,1359.348,0.1667562,-1,80.645605,DEU_N2013Y,0.03264,0.0487,0.0593,0.06917,0.07929,0.08962,0.1028,0.1209,0.1488,0.2488
0,1,GHA,Ghana,SSA,N,2013,2012,X,0.7880217,1.9,187.4871,0.1223464,0.03532874,0.01521434,0.04810678,0.4220542,137.0455,0.307024,-1,26.346251,GHA_N2012X,0.02021,0.03361,0.04384,0.05441,0.06634,0.08011,0.09705,0.1225,0.166,0.3159
0,1,GRC,Greece,OHI,N,2013,2013,Y,0.7582539,1.9,653.9092,0.009991765,0.003293324,0.001709673,0.004925298,0.3612586,553.6269,0.2436975,-1,10.965211,GRC_N2013Y,0.02017,0.03901,0.05254,0.06504,0.07801,0.09129,0.1066,0.1259,0.1574,0.2641
1,1,GTM,Guatemala,LAC,N,2013,,Y,3.873239,1.9,256.5127,0.103364,0.03204801,0.01552244,0.04558678,-1,-1,-1,-1,15.596214,GTM_N2011Y,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,GIN,Guinea,SSA,N,2013,2012,X,2572.343,1.9,87.33282,0.3527258,0.1032922,0.04348935,0.1389622,0.337297,71.03405,0.1910851,-1,11.536615,GIN_N2012X,0.03025,0.04529,0.05607,0.06574,0.07587,0.08796,0.1022,0.1216,0.1509,0.2641
0,1,GNB,Guinea-Bissau,SSA,N,2013,2010,X,248.2358,1.9,69.29527,0.6704423,0.3047371,0.1754125,0.4877051,0.5066424,42.26656,0.446719,-1,1.681495,GNB_N2010X,0.0163,0.02859,0.03734,0.04569,0.05571,0.06649,0.08057,0.1023,0.147,0.42
0,0,GUY,Guyana,LAC,N,2013,1998,Y,133.2612,1.9,307.0112,0.0716389,0.02142474,0.008657987,0.02979269,0.4455205,225.3969,0.3662881,0.3710533,0.758081,GUY_N1998Y,0.01538,0.02976,0.04247,0.05459,0.06694,0.08046,0.09656,0.1182,0.1545,0.3411
0,1,HTI,Haiti,LAC,N,2013,2012,X,20.70574,1.9,127.9502,0.2435818,0.07866771,0.03564402,0.1095503,0.4091461,96.69474,0.2901213,-1,10.431776,HTI_N2012X,0.02126,0.03472,0.04582,0.05718,0.06945,0.08233,0.09895,0.1209,0.1589,0.3105
0,1,HND,Honduras,LAC,N,2013,2013,Y,10.08031,1.9,230.6087,0.1893223,0.07664207,0.04389837,0.1151105,0.5367163,139.0319,0.5738993,-1,8.657785,HND_N2013Y,0.009785,0.02117,0.03053,0.04147,0.0533,0.06773,0.08609,0.1133,0.1618,0.4148
0,1,HUN,Hungary,ECA,N,2013,2013,Y,137.8829,1.9,590.1588,0.002440178,3.23E-05,4.28E-07,3.25E-05,0.3150277,512.9165,0.1721466,-1,9.893082,HUN_N2013Y,0.02895,0.04662,0.0597,0.07067,0.08143,0.09245,0.1052,0.1216,0.1494,0.244
